location,station_ID,year,month,filename
Punggol,81,2012,11,Punggol_81_201211.csv
Semakau Island,102,2014,5,Semakau Island_102_201405.csv
Jurong Pier,33,2015,4,Jurong Pier_33_201504.csv
Bukit Timah,90,2016,3,Bukit Timah_90_201603.csv
Khatib,122,2021,2,Khatib_122_202102.csv
Dhoby Ghaut,118,2019,9,Dhoby Ghaut_118_201909.csv
Tuas,89,2014,11,Tuas_89_201411.csv
Khatib,122,2021,8,Khatib_122_202108.csv
Queenstown,77,2020,8,Queenstown_77_202008.csv
Tuas West,82,2017,6,Tuas West_82_201706.csv
Choa Chu Kang (West),11,2019,3,Choa Chu Kang (West)_11_201903.csv
Clementi,50,2017,7,Clementi_50_201707.csv
Jurong Pier,33,2013,4,Jurong Pier_33_201304.csv
Buona Vista,92,2012,9,Buona Vista_92_201209.csv
Upper Peirce Reservoir,69,2019,11,Upper Peirce Reservoir_69_201911.csv
East Coast Parkway,107,2016,1,East Coast Parkway_107_201601.csv
Simei,84,2012,5,Simei_84_201205.csv
Admiralty,104,2022,2,Admiralty_104_202202.csv
East Coast Parkway,107,2012,9,East Coast Parkway_107_201209.csv
Serangoon,36,2022,2,Serangoon_36_202202.csv
Pulau Ubin,106,2012,2,Pulau Ubin_106_201202.csv
Admiralty,104,2014,10,Admiralty_104_201410.csv
Kent Ridge,71,2013,12,Kent Ridge_71_201312.csv
Seletar,25,2012,3,Seletar_25_201203.csv
Tengah,23,2019,4,Tengah_23_201904.csv
Tai Seng,43,2012,6,Tai Seng_43_201206.csv
Jurong (North),101,2017,9,Jurong (North)_101_201709.csv
Admiralty,104,2022,4,Admiralty_104_202204.csv
Pasir Ris (West),29,2019,11,Pasir Ris (West)_29_201911.csv
Ang Mo Kio,109,2018,11,Ang Mo Kio_109_201811.csv
Lim Chu Kang,112,2018,8,Lim Chu Kang_112_201808.csv
Tengah,23,2015,6,Tengah_23_201506.csv
Boon Lay (West),63,2016,5,Boon Lay (West)_63_201605.csv
Yishun,91,2015,4,Yishun_91_201504.csv
Mandai,40,2020,11,Mandai_40_202011.csv
Admiralty,104,2016,12,Admiralty_104_201612.csv
Khatib,122,2020,6,Khatib_122_202006.csv
Tuas,89,2022,6,Tuas_89_202206.csv
Lim Chu Kang,112,2012,12,Lim Chu Kang_112_201212.csv
Admiralty,104,2012,5,Admiralty_104_201205.csv
Jurong (North),101,2013,12,Jurong (North)_101_201312.csv
Pasir Panjang,116,2012,1,Pasir Panjang_116_201201.csv
Kranji Reservoir,66,2012,3,Kranji Reservoir_66_201203.csv
Jurong Island,117,2013,5,Jurong Island_117_201305.csv
Ang Mo Kio,109,2013,1,Ang Mo Kio_109_201301.csv
Toa Payoh,88,2018,3,Toa Payoh_88_201803.csv
Botanic Garden,120,2023,2,Botanic Garden_120_202302.csv
Buangkok,55,2017,5,Buangkok_55_201705.csv
Pasir Ris (West),29,2013,12,Pasir Ris (West)_29_201312.csv
Ang Mo Kio,109,2019,11,Ang Mo Kio_109_201911.csv
Lower Peirce Reservoir,08,2015,6,Lower Peirce Reservoir_08_201506.csv
Buangkok,55,2015,11,Buangkok_55_201511.csv
Marina Barrage,108,2016,11,Marina Barrage_108_201611.csv
Jurong Pier,33,2021,8,Jurong Pier_33_202108.csv
Newton,111,2015,2,Newton_111_201502.csv
Toa Payoh,88,2024,2,Toa Payoh_88_202402.csv
Lim Chu Kang,112,2015,5,Lim Chu Kang_112_201505.csv
Choa Chu Kang (South),121,2019,6,Choa Chu Kang (South)_121_201906.csv
